Country,Homicide Rate,CPI Score 2018,Standard error
Antigua,0.0,0.0,0
Argentina,6.2,60.0,2.7
Australia,1.1,23.0,1.27
Bahamas,29.7,35.0,5.39
Belize,29.4,71.0,0
Brazil,31.3,65.0,4.05
Canada,1.5,19.0,2.16
Chile,4.4,33.0,1.88
Costa Rica,10.2,44.0,3.65
Croatia,1.0,52.0,2.77
Curacao,0.0,0.0,0
Ecuador,9.3,66.0,3.46
Estonia,3.7,27.0,1.44
Falkland Islands,0.0,0.0,0
Fiji,2.5,60.0,0
Finland,1.3,15.0,2.74
France,0.9,28.0,1.17
Greece,1.1,55.0,2.51
Grenada,6.3,48.0,3.0
Honduras,55.5,71.0,2.42
Iceland,1.2,24.0,4.33
Indonesia,4.5,62.0,3.35
Ireland,0.8,27.0,3.25
Italy,0.8,48.0,3.29
Japan,0.3,27.0,2.85
Kenya,5.3,73.0,1.82
Madagascar,6.9,75.0,2.64
Maldives,3.4,69.0,2.24
Mexico,16.9,72.0,1.83
New Zealand,1.1,13.0,2.44
Nicaragua,13.9,75.0,1.13
Palau,0.0,0.0,0
Panama,20.5,63.0,1.76
Papua New Guinea,10.2,72.0,2.47
Philippines,14.8,64.0,1.55
Poland,0.9,40.0,1.69
SVG,0.0,0.0,0
Seychelles,9.9,34.0,3.08
Solomon Islands,4.3,56.0,7.38
Thailand,5.0,64.0,2.08
Tonga,4.6,69.0,NaN
Turks and Caicos,0.0,0.0,0
Uganda,12.6,74.0,2.13
United Arab Emirates,3.8,30.0,4.56
United Kingdom,1.3,20.0,2.03
United States of America,6.5,29.0,3.25
Vanuatu,2.5,54.0,5.97
