"","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2005"," 2005"," 2005"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Afghanistan","7.4","13.5","0.9","7.4","13.5","0.9","7.5","13.9","0.7","7.9","14.7","0.7","8.3","15.5","0.6"
"Albania","4.2","5.8","2.4","4.2","5.9","2.5","5.2","7.4","3.0","5.9","8.4","3.3","5.8","9.7","1.7"
"Algeria","4.2","6.4","1.9","4.3","6.6","2.0","5.6","8.6","2.5","6.4","9.8","3.0","7.2","10.8","3.6"
"Angola","9.8","16.5","3.4","10.1","16.9","3.5","10.8","18.1","3.8","12.0","19.9","4.4","13.3","21.9","5.0"
"Antigua and Barbuda","1.8","2.7","0.9","1.8","2.8","0.9","4.4","6.9","2.1","3.7","5.9","1.6","3.8","6.5","1.4"
"Argentina","6.2","10.7","1.9","6.3","10.8","2.0","5.3","9.1","1.7","5.9","10.1","1.9","7.3","12.7","2.2"
"Armenia","2.4","4.0","1.0","2.5","4.2","1.0","1.7","2.9","0.6","2.2","3.7","0.8","3.3","5.6","1.3"
"Australia","1.1","1.5","0.8","1.1","1.5","0.7","1.2","1.5","0.9","1.3","1.6","0.9","1.6","2.0","1.3"
"Austria","0.5","0.6","0.5","0.6","0.7","0.6","0.6","0.6","0.5","0.8","0.9","0.8","1.0","1.1","1.0"
"Azerbaijan","2.4","3.7","1.0","2.4","3.8","1.0","2.5","3.9","1.0","2.6","4.2","1.0","3.2","5.4","1.1"
"Bahamas","29.7","52.5","7.8","29.8","52.7","7.8","27.8","49.5","7.0","18.1","32.1","4.7","24.4","42.4","7.2"
"Bahrain","0.8","0.9","0.4","0.8","1.0","0.5","0.8","0.9","0.6","0.9","1.1","0.6","0.9","1.1","0.6"
"Bangladesh","2.9","4.2","1.7","3.0","4.2","1.7","2.9","4.0","1.7","2.6","3.6","1.6","2.6","3.5","1.6"
"Barbados","10.0","15.1","5.4","10.5","16.1","5.3","12.5","19.2","6.3","9.1","13.9","4.6","11.2","17.4","5.4"
"Belarus","5.2","8.0","2.8","5.3","8.1","2.9","6.5","10.1","3.3","9.9","15.0","5.4","13.1","18.9","8.1"
"Belgium","1.0","1.1","0.8","1.0","1.1","0.8","1.1","1.3","1.0","1.6","1.9","1.3","1.5","1.8","1.2"
"Belize","29.4","51.2","7.8","30.0","52.1","8.1","37.7","64.1","11.3","27.4","46.0","8.6","17.2","28.8","5.5"
"Benin","6.4","9.8","3.0","6.4","9.9","3.0","6.5","10.1","3.0","7.1","11.2","3.2","7.4","11.5","3.4"
"Bhutan","1.7","2.4","0.9","1.7","2.4","1.0","1.9","2.7","1.1","2.0","2.8","1.0","3.7","5.3","2.0"
"Bolivia (Plurinational State of)","14.1","23.5","4.6","13.9","23.1","4.6","11.9","19.6","4.1","8.0","13.2","2.7","9.2","15.1","3.3"
"Bosnia and Herzegovina","3.3","5.0","1.7","3.3","5.0","1.7","3.5","5.3","1.7","3.7","5.7","1.8","3.9","6.0","1.9"
"Botswana","11.4","19.8","3.1","11.7","20.5","3.1","16.4","29.0","4.1","17.2","31.4","3.4","12.4","22.7","2.4"
"Brazil","31.3","57.8","5.6","31.5","58.2","5.6","31.0","57.0","5.7","30.8","56.8","5.6","32.2","59.2","5.8"
